"""equivalent"" logical notion",equivalent logical notion
word,word
infrequently used ones,infrequently
pounding toys,pounding toy
actions,action
classification of sex,classification sex
"i.e., departures",departure
collective imagery incest,collective imagery incest
travel,travel
proscribed music music,proscribed music music
sex sememes,sex sememe
things) environment,environment
skills precedence,skills precedence
proficient use,proficient
crimes,crime
control aesthetics affection,control aesthetics affection
unthinkable,unthinkable
contempt facial expression,contempt facial expression
death,death
activities,activity
happiness,happiness
child-rearing years,child rearing year
face redress,face redress
alternatives,alternative
subject,subject
two other people,people
meaningful elements,meaningful element
cyclicity,cyclicity
fears fear,fears fear
different natures,nature
"commonly used 
 ones",commonly
concern,concern
reality language,reality language
thought pain,thought pain
disease beliefs,disease belief
inheritance rules institutions,inheritance rules institution
object self-image,object image
wrongs resistance,wrongs resistance
organized co,organized
life magic,life magic
"spatial 
 cognition",spatial cognition
hospitality husband,hospitality husband
violence males,violence male
passage rituals role,passage rituals role
terms,term
"e.g., weaving",weave
unified sex differences,unified sex difference
"public/political 
 realm males",public political realm male
"other 
 physical properties",physical property
weather conditions coalitions,weather conditions coalition
cognitive pattern,cognitive pattern
mother,mother
phonemes vowel,phonemes vowel
tools,tool
utterances,utterance
personal names,personal
adjustments,adjustment
own children,child
patterns,pattern
behavioral propensities classification,behavioral propensities classification
moral sentiments,moral sentiment
"""same"" magic magic",magic magic
mother and son,mother son
color term,color term
Oedipus complex oligarchy,Oedipus complex oligarchy
verbs violence,verbs violence
distant kin groups,distant kin group
tabooed incest,tabooed incest
objectivity,objectivity
strangers choice,strangers choice
permament tools,permament tool
fairness,fairness
kin classification,kin classification
several meanings,meaning
anger,anger
incest prevention sexuality,incest prevention sexuality
intention interest,intention
poser,poser
related snakes,snake
fear facial expression,fear facial expression
speech,speech
concept of family,concept family
translatable language,translatable language
dimension semantic category,dimension semantic category
theft males,theft male
space classification,space classification
abstraction,abstraction
dynamic interrlationship,dynamic interrlationship
triangular awareness,triangular awareness
manipulation,manipulation
disgust facial expression,disgust facial expression
special speech,special speech
statuses,status
kin terms,kin term
envy,envy
positive self,positive
role and personality,role personality
assessinjg,assessinjg
wife,wife
people semantic category,people semantic category
creation) music,creation music
conflict,conflict
classification of tools,classification tool
roles statuses,roles status
individual personality,individual personality
pride,pride
statuses and role,statuses role
decision making,decision
labor division,labor division
private inner life,private life
relationships,relationship
taxonomy territoriality thumb,taxonomy territoriality thumb
art,art
daily routines,daily routine
colors classification,colors classification
classification classification,classification classification
body parts classification,body parts classification
metonym,metonym
sex,sex
law,law
symbolic means,symbolic
phonemes,phoneme
some feasting females,feasting female
counting,count
stop/nonstop contrasts,nonstop contrast
others language,language
murder,murder
"limited 
 effective range",limited effective range
longer senses,longer sense
rules of membership,rules membership
self-control self,control
kinship bases stinginess,kinship bases stinginess
rhythm right-handedness,rhythm handedness
death beliefs,death belief
basic relations,basic relation
childhood fear,childhood fear
abuse,abuse
tools tools,tools tool
concept,concept
dance music,dance music
succession sucking wounds,succession sucking wound
"special 
 occasions statuses",special occasions status
more aggressive males,aggressive male
leopard,leopard
favor,favor
religious activity music,religious activity music
sayings proverbs,sayings proverb
location semantic category,location semantic category
phonemic change,phonemic change
mood-,mood
death fears,death fear
cyclicity of tools,cyclicity tool
spots,spot
preference,preference
awareness,awareness
discrepancies,discrepancy
focus,focus
surprise facial expressions,surprise facial expression
past/present/future person,future person
conjectural reasoning containers,conjectural reasoning container
prevention,prevention
self-image,image
supernatural/religion beliefs,supernatural religion belief
senior kin socialization,senior kin socialization
personality,personality
techniques,technique
avoidance,avoidance
fauna classification,fauna classification
death rituals decision,death rituals decision
children's music,children music
son,son
emotions empathy entification,emotions empathy entification
leaders,leader
some forms,form
string,string
labor,labor
age division,age division
greater distances,greater distance
rules,rule
reciprocal exchanges,reciprocal exchange
figurative speech fire,figurative speech
role,role
playthings,plaything
love making comparisons,love making comparison
pauses polysemy,pauses polysemy
prestige,prestige
age,age
ability,ability
vocal music,vocal music
culturally tools,culturally tool
modifying,modifying
separate kin terms,separate kin term
household) father,household father
individuals statuses,individuals status
fortune,fortune
bioforms,bioform
critical learning periods,critical learning period
future play play,future play play
groups,group
relations,relation
most units,unit
number phonemic change,number phonemic change
generation semantic components,generation semantic component
toilet training,toilet training
pronouns pronouns,pronouns pronoun
mediation,mediation
equity,equity
social unit,social unit
consultation,consultation
foods,food
morphemes,morpheme
sememes,sememe
time,time
membership,membership
"""general/particular"" logical notion",general logical notion
collectivity sanctions,collectivity sanction
sanctions sanctions,sanctions sanction
males,male
semantic category,semantic category
""" logical notion",logical notion
family,family
future,future
patterns and relations,patterns relation
individuals,individual
