Those statements,statement
development,development
confidence,confidence
Reliance,reliance
challenge,challenge
Huawei technology,Huawei technology
manipulation and espionage,manipulation espionage
US secretary,secretary
US Congress,Congress
fallout,fallout
Europe,Europe
Nato’s eastern flank,Nato eastern flank
similar warnings,warning
death,death
lot of bridges,lot bridge
other options,option
visit,visit
5G network,5G network
alternative,alternative
US defence secretary,defence secretary
Munich security conference,Munich security conference
Donald Trump,Donald Trump
America,America
Mike Pompeo,Mike Pompeo
US concern,concern
Chinese Huawei technology,Chinese Huawei technology
Russia,Russia
European countries,European country
context,context
conference,conference
free west,free west
US networks,network
China’s military buildup,China military buildup
wrong direction,wrong direction
threats,threat
Chinese Communist party,Chinese Communist party
Russian gas,Russian gas
transatlantic alliance,transatlantic alliance
short-term economic gain,short term economic gain
neighbours and partners,neighbours partner
German president,German president
energy projects,energy project
border,border
European reliance,European reliance
Sydney Morning Herald,Sydney Morning herald
terror,terror
Three Seas Initiative,Seas initiative
any doubt,doubt
Nancy Pelosi,Nancy Pelosi
expense,expense
US alliances,alliance
Ericsson,Ericsson
China’s poster child,China poster child
enormous risk,enormous risk
His remarks,remark
politics,politic
brighter future,brighter future
firms,firm
free-market,free market
theft and coercion,theft coercion
proxy conflicts,proxy conflict
security concerns,security concern
“campaigns of terror,campaigns terror
Australia,Australia
any perceived gains,perceived gain
Middle East,Middle east
exploitation of free-market,exploitation free market
alternative 5G solutions,alternative 5G solution
eastern EU countries,eastern country
manipulation,manipulation
Washington,Washington
Russia’s territorial ambitions,Russia territorial ambition
UK’s specific plans,specific plan
charge,charge
to $1bn,1bn
future intelligence cooperation,future intelligence cooperation
multinational effort,multinational effort
western freedom,western freedom
bridges,bridge
US senator,senator
more heavy-handedness,heavy handedness
women,woman
party leadership,party leadership
international community,international community
illiberal alternatives,illiberal alternative
partners,partner
future of Nato,future Nato
risk,risk
Huawei road,Huawei road
Saturday,Saturday
own security,security
Britain,Britain
Republicans and Democrats,Republicans democrat
lot,lot
Europeans,european
United States,United
key role,key role
these technologies,technology
Both Esper,esper
our commitment,commitment
plans,plan
Democrats,democrat
Chinese officials,Chinese official
coercion,coercion
financing,financing
many dinners,dinner
European partners,European partner
Iran,Iran
Nato,Nato
Islamic State,Islamic
communications networks,communications network
Chinese 5G vendors,Chinese 5G vendor
danger of Huawei,danger Huawei
too many countries,country
Esper and Pompeo,Esper Pompeo
nefarious industrial strategy,nefarious industrial strategy
espionage,espionage
extension,extension
Frank-Walter Steinmeier,Frank Walter steinmeier
long-term threat,long term threat
China’s rise,China rise
Russian natural gas,Russian natural gas
universities,university
reality,reality
same answer,answer
more internal repression,internal repression
Mark Esper,Mark esper
private companies,private company
“campaigns,campaign
Ukraine,Ukraine
Pompeo’s speech,Pompeo speech
jeopardy,jeopardy
response,response
Lindsey Graham,Lindsey Graham
support,support
US demands,demand
neighbours and part,neighbours
expense of neighbours,expense neighbour
Huawei,Huawei
Republicans,republican
disruption,disruption
privacy,privacy
transatlantic unity,transatlantic unity
west,west
Pompeo,Pompeo
theft,theft
danger,danger
British purchase,British purchase
even the idea,idea
near-existential threat,existential threat
exploitation,exploitation
our military bases,military basis
South China Sea,South China Sea
future,future
