sozialen Netzen,Netz
Richtung,Richtung
Ziele,Ziel
Zukunft,Zukunft
Richtung Nachhaltigkeit,Richtung Nachhaltigkeit
Bekämpfung,Bekämpfung
Innovation,Innovation
verantwortungsvollere Regierungen,Regierung
Gutachten,Gutachten
digitale Revolution,Revolution
einen Dekarbonisierungspfad,Dekarbonisierungspfad
Frühjahr,Frühjahr
es und Mitarbeiter,Mitarbeiter
unsere Nachhaltigkeitsziele,Nachhaltigkeitsziele
beiden Welten,Welt
Projekts,Projekt
aller Akteure,Akteur
Einzelnen,Einzelne
Sensoren,Sensor
heutigen Gesellschaft,Gesellschaft
soziale Gerechtigkeit,Gerechtigkeit
Emissionsreduzierungen,Emissionsreduzierungen
Demokratie,Demokratie
Herausforderungen,Herausforderung
gesellschaftliche Transformation,Transformation
ihr transformatives Potenzial,Potenzial
gesellschaftliche Veränderungen,Veränderung
"""massenhafte Zusammenarbeit",Zusammenarbeit
"""beispiellose Transparenz",Transparenz
Umgang,Umgang
mehr Nachhaltigkeit,Nachhaltigkeit
Wachstum,Wachstum
Sachen Nachhaltigkeit,Sachen Nachhaltigkeit
Präsident,Präsident
Digitale Disruptionen,Digitale Disruptionen
Denkweise,Denkweise
Klima- und Digitalthemen,Klima Digitalthemen
Innovation und Maßnahmen,Innovation Maßnahme
Klimaziele,Klimaziele
Future-Earth-Direktorin Amy Luers,Future Earth Direktorin Amy Luers
Digitalisierung,Digitalisierung
Dirk Messner,Dirk Messner
maschinelle Lernfähigkeiten,Lernfähigkeiten
Wandel,Wandel
Satelliten,Satellit
Wissenschaftlichen Beirat,Wissenschaftlichen Beirat
Maßnahmen,Maßnahme
neue Öl,Öl
Zivilgesellschaft,Zivilgesellschaft
Machtstrukturen,Machtstrukturen
Daten,Datum
Menschenwürde,Menschenwürde
Pariser Klimaabkommens,Pariser Klimaabkommens
bewusstes Umsteuern,Umsteuern
Diese Kernaussage,Kernaussage
Vier digitale Disruptionsfaktoren,Disruptionsfaktoren
Große Datenmengen,Datenmengen
Missbrauch,Missbrauch
Wissenschaft,Wissenschaft
Privatsphäre,Privatsphäre
Investitionen,Investition
neue Möglichkeiten,Möglichkeit
dieser Bestrebungen,Bestrebungen
Bericht,Bericht
Mitglied,Mitglied
etwa Jim Balsilie,Jim Balsilie
Umweltbundesamtes und Mitarbeiter,Umweltbundesamtes Mitarbeiter
technischer Lösungen,Lösung
Machtstrukturen und Denkweisen,Machtstrukturen Denkweise
Future Earth,Future Earth
mobile Geräte,Gerät
Pariser Abkommens,Pariser Abkommen
Agenda,Agenda
Forschung,Forschung
Regel,Regel
Aarti Gupta,Aarti Gupta
Wirtschaft und Zivilgesellschaft,Wirtschaft Zivilgesellschaft
JavaScript,JavaScript
soziale Verbrauchsnormen,Verbrauchsnormen
Messner,Messner
Ansätze,Ansatz
globale Umweltveränderungen,Umweltveränderungen
Universität Wageningen,Universität Wageningen
Wiedergabe,Wiedergabe
allen Sektoren,Sektor
Bundesregierung,Bundesregierung
demokratische Prozesse,Prozeß
ursprüngliche Versprechen,Versprechen
ISC,ISC
Videos,Video
kohlenstoffarmer Produkte,Produkt
Kooperation,Kooperation
Norm,Norm
Schutz,Schutz
Satelliten und Sensoren,Satelliten Sensor
Transparenzsystemen,Transparenzsystemen
Internationalen Wissenschaftsrat,Internationalen Wissenschaftsrat
neue Plutonium,Plutonium
mehr Interessengruppen,Interessengruppen
breitere Bürgerbeteiligung,Bürgerbeteiligung
Problemen,Problem
Klimawandels,Klimawandels
Amy Luers,Amy Luers
Klimastrategien,Klimastrategien
Cloud-Computing,Cloud Computing
Umwelt,Umwelt
welchen Bedingungen,Bedingung
Umweltbundesamtes,Umweltbundesamtes
Wirtschaft,Wirtschaft
historischer Sicht,Sicht
Aufklärungsvideo,Aufklärungsvideo
