Health,health
assessment skills,assessment skill
COVID pandemic,COVID pandemic
educators and trainees,educators trainee
classrooms,classroom
mental readiness,mental readiness
potential war-time scenarios,potential time scenario
mission,mission
healthcare,healthcare
critical decision-making skills,critical decision making skill
organizations,organization
AFWERX,AFWERX
coming months,coming month
Dr. Kevin King,Kevin king
realistic patient simulations,realistic patient simulation
BUSINESS WIRE,BUSINESS WIRE
SAN ANTONIO--,SAN ANTONIO
potential,potential
training modules,training module
medical telesimulation,medical telesimulation
® mixed reality,mixed reality
medical errors,medical error
UTSA,UTSA
National Institutes,National institute
open pneumothorax,open pneumothorax
CEO,CEO
mission of MedCognition,mission MedCognition
HAZMAT simulation training,HAZMAT simulation training
computer scientists,scientist
US Military,military
frontline,frontline
realistic medical simulations,realistic medical simulation
EMS educators,EMS educator
US Army,army
screen,screen
Chenega Healthcare Services,Chenega Healthcare service
variety,variety
latest trauma modules,latest trauma module
actual environments,actual environment
NIH,NIH
medical simulation directors,medical simulation director
critical thinking,critical
tools,tool
TCCC) simulation training,TCCC simulation training
future training,future training
limb amputation,limb amputation
partnership,partnership
battlefield,battlefield
Year,year
combat,combat
trainees,trainee
"$750,000 development contract",750 000 development contract
participants,participant
EMS World Magazine,EMS magazine
military medical education,military medical education
phase,phase
Innovation,innovation
Emergency Medicine clinicians,Emergency Medicine clinician
Microsoft HoloLens,Microsoft HoloLens
series,series
these modules,module
PerSim,PerSim
experiential learning,experiential learn
contract,contract
burns,burn
life-like holographic patients,life holographic patient
care,care
other significant injuries,injury
collaboration,collaboration
Texas-based start-up,Texas based start
decision-making,decision making
frontline of healthcare,frontline healthcare
company,company
clinical presentations,clinical presentation
more lives,live
battlefield injuries,battlefield injury
civilian applications,civilian application
CEO of MedCognition,CEO MedCognition
educators,educator
