telephones,telephone
statement,statement
your words,word
Bean Dip,Bean Dip
our expressiveness,expressiveness
Africa,Africa
small number,small number
haphazardness,haphazardness
journalist,journalist
David Kirkpatrick,David Kirkpatrick
your teachers,teacher
media theorists,media theorist
other sociologists,sociologist
school,school
social “context,social context
Digitization,digitization
colleagues,colleague
whole organizing structure,organizing structure
force,force
identities,identitie
piece,piece
Wesch,Wesch
epistemological architecture,epistemological architecture
Kirkpatrick,Kirkpatrick
important conceptual lens,conceptual lens
pools,pool
traditional distinctions,traditional distinction
your work friends,work friend
time and space,time space
wind tunnel,wind tunnel
radio station,radio station
Facebook and Twitter,Facebook twitter
distinctions of form,distinctions form
recording,record
kinds,kind
problem,problem
Our new gatekeepers,gatekeeper
arts section,arts
tools,tool
equal weight,equal weight
fake Instagrams,fake instagram
personal posts,personal post
reflexive mouse clicks,reflexive mouse click
types of information,types
character actors,character actor
oversimplification,oversimplification
Brad Pitt,Brad Pitt
newspapers and magazines,newspapers magazine
sea change,sea change
tendentiousness,tendentiousness
members,member
Object,object
pseudonymous accounts,pseudonymous account
closest friends,closest friend
finstas,finsta
Instagram,Instagram
water,water
barriers,barrier
types of content,types content
social media,social medium
opinion,opinion
your bosses,boss
specialized mediums,specialized medium
direct competition,direct competition
personal relations,personal relation
post,post
group texts,group text
your house,house
hands,hand
companies,company
recent history,history
politicians,politician
tendency,tendency
distribution,distribution
forms of information,forms
another dog’s breakfast,dog breakfast
my RSS reader,RSS reader
same criteria,criterion
presentation,presentation
lack of context,lack context
black hole,black hole
trivial,trivial
newspaper,newspaper
new sort,sort
old mediums,medium
instance,instance
News Feed,News feed
that single moment,single moment
workplace,workplace
crisis,crisis
only one gate,gate
Michael Wesch,Michael Wesch
Danah Boyd,Danah Boyd
voice,voice
consumption of information,consumption
vinyl records,vinyl record
software’s formal constraints,software formal constraint
tight limits,tight limit
reality of content,reality content
images,image
Zuckerberg,Zuckerberg
screen,screen
diminutive size,diminutive size
shape,shape
your friends,friend
entertainment,entertainment
latest Kardashian contouring,latest Kardashian contouring
instant notifications,instant notification
reality,reality
infinite number,infinite number
RSS feed,RSS feed
living section,living
online conversation,conversation
collapse,collapse
amorphous mass,amorphous mass
lowest possible level,lowest level
your tone,tone
Cringe,cringe
sense,sense
identity crisis,identity crisis
little glass lens,glass lens
once distinct types,distinct type
work,work
video,video
new media environment,media environment
radios,radio
crisis of self-presentation,crisis presentation
family members,family member
your coworkers,coworker
collapse of content,collapse content
your niece’s hamster,niece hamster
public platform,public platform
various producers,producer
message,message
Twitter,twitter
more intimate platform,intimate platform
Time,time
MySpace,MySpace
Young people,Young people
parents,parent
fire emoji,emoji
headlines,headline
disorder,disorder
infinite scrolls,infinite scroll
news and opinion,news opinion
magazines,magazine
opposite: context restoration,context restoration
Content collapse,Content collapse
power,power
actions,action
TVs,TVs
"free-floating, decontextualized motes",free floating decontextualized mote
“update,update
news section,news
space,space
Hollywood,Hollywood
organizational hierarchies,organizational hierarchy
single stream,single stream
public,public
Erving Goffman,Erving Goffman
people,people
sports section,sports
Joshua Meyrowitz,Joshua Meyrowitz
suitably melodramatic terms,suitably melodramatic term
radically different scale,radically scale
contexts,context
networks,network
Flood Waters Rise,Flood Waters rise
phenomenon,phenomenon
moment of recording,moment record
other social networks,social network
propagandists,propagandist
lens,lens
screen’s blur,screen blur
site,site
algorithms,algorithm
squirrel,squirrel
stars,star
boundaries,boundary
old social boundaries,social boundary
even your appearance,appearance
personal correspondence,personal correspondence
qualities,quality
days of you,days
social spheres,social sphere
experience,experience
Dam Collapse,Dam collapse
future audiences,future audience
brief period,period
Group chats,Group chat
gateway,gateway
latest update,latest update
Friendster,friendster
influencers,influencer
tribalism,tribalism
trend,trend
"single, universal medium",single universal medium
YouTube,youtube
convenience,convenience
import,import
much maligned gatekeepers,maligned gatekeeper
Snapchat,snapchat
Hate,hate
more consequential legacy,consequential legacy
photograph,photograph
planet,planet
new order,order
cinemas,cinema
concept,concept
emotionalism,emotionalism
different “audiences,audience
providers of co,providers
different stages,stage
sponsored posts,sponsored post
performer,performer
form of Snapchat,form snapchat
parents and teachers,parents teacher
smartphone,smartphone
pioneering vloggers,pioneering vlogger
obscene comparison,obscene comparison
hashtag,hashtag
appeal,appeal
formal standards,formal standard
that same interview,interview
same small set,small set
Young scholars,Young scholar
shredder,shredder
form of Facebook,form Facebook
complaining,complain
news headlines,news headline
nightclub,nightclub
identity,identity
Lust Britney Spears,Lust Britney spear
initial concerns,initial concern
integrity,integrity
lack of integrity,lack integrity
providers of content,providers content
social groups,social group
instruction,instruction
cacophony,cacophony
glance,glance
distribution and consumption,distribution consumption
general public,general public
his tone-deaf way,tone deaf
single category,single category
single context,single context
editorial control,editorial control
snapshot of you,snapshot
his pitbull,pitbull
rise,rise
attendant crisis,attendant crisis
inevitability,inevitability
responses,response
your behavior,behavior
momentum,momentum
main conduit,main conduit
story of context,story context
stories,story
theory,theory
cassettes,cassette
two events,event
Love,love
process,process
moral cleanliness,moral cleanliness
lack of co,lack
platforms,platform
Facebook,Facebook
device’s screen,device screen
single channel,single channel
distinctions,distinction
meal,meal
category errors,category error
Private accounts,Private account
