likely price window,price window
entire face,entire face
my timely concerns,timely concern
students,student
portion,portion
games,game
core,core
legal framework,legal framework
built-in sensors,built sensor
G2,G2
Rawlings,rawling
HP G2,HP G2
useful solution,solution
consumer-grade market,consumer grade market
user data,user datum
rollout,rollout
scenario,scenario
$600 HP G2,600 HP G2
biometric data,biometric datum
existing headsets,existing headset
employers,employer
fly,fly
case,case
retailers,retailer
HP Omnicept SDK,HP Omnicept SDK
staffers and students,staffers student
tests,test
functionality,functionality
comments,comment
personal information,personal
aggregate,aggregate
Omnicept's sensors,Omnicept sensor
data,datum
facial-capture system,facial capture
standard HP G2,standard HP G2
facial-tracking camera,facial tracking camera
staffers' cognitive load,staffers cognitive load
any battery,battery
consultant,consultant
consumer-grade G2,consumer grade G2
customers,customer
virtualized versions,virtualized
developers,developer
individual firms,individual firm
GDPR compliance,GDPR compliance
3D rendering,render
heart rate sensor,heart rate sensor
difficult simulations,difficult simulation
Omnicept Edition,Omnicept edition
default,default
retail plan,retail plan
less collaboration,collaboration
eye-tracking system,eye tracking
company,company
full suite,suite
possibly good news,good news
SteamVR,SteamVR
enterprise-grade Omnicept customers,enterprise grade Omnicept customer
Omnicept's launch SDK,Omnicept launch SDK
cognitive load,cognitive load
slide,slide
Lots,lot
sensors,sensor
training and employees,training employee
eye,eye
facial-capture camera,facial capture camera
intense scenarios,intense scenario
particularly emotional responses,emotional response
Omnicept,Omnicept
third-party eye-tracking systems,party eye tracking
60MPH winds,60MPH wind
nose,nose
moment,moment
APIs,APIs
potential,potential
future headsets,future headset
biometric-tracking doozy,biometric tracking doozy
Tobii,tobii
firm launch window,firm launch window
additional slew,additional slew
training regimen,training regimen
heart rate tracker,heart rate tracker
indication of it,indication
HP G2 Omnicept,HP G2 Omnicept
plane,plane
training exercises,training exercise
similar design language,design language
lenses,lense
these headsets,headset
$600 G2,600 G2
performance,performance
scientists,scientist
capture,capture
company's PR team,company team
image,image
Valve Index,Valve
training sequences,training sequence
your gaze,gaze
gaming headset,gaming headset
trainers,trainer
[Omnicept] conversations,Omnicept conversation
not-so-subtle nudge,subtle nudge
device's features,device feature
SDK,SDK
product line,product
compatible training apps,compatible training app
higher-tier version,higher tier
my face,face
further instruction,instruction
rollout of Omnicept,rollout Omnicept
consumer-level entertainment options,consumer level entertainment option
pair,pair
VR user,VR user
sense,sense
engineer's mental state,engineer mental
foveated rendering,foveated render
software,software
fine-tuned data,fine tuned datum
eye-related trackers,eye tracker
no price,price
movie-watching,movie watching
Valve,valve
enterprise customers,enterprise customer
HP,HP
Privacy,privacy
staffers,staffer
these sensors' potential,sensors potential
wealth,wealth
GDPR,GDPR
less-creepy bonus,creepy bonus
training,training
working COVID-19 vaccine,working COVID 19 vaccine
potential evils,potential evil
Omnicept's special features,Omnicept special feature
November,November
direction,direction
speakers,speaker
other users,user
Same array,array
