U.S. Army troops,Army troop
Army Shoot-Off,Army Shoot
achievement,achievement
© Copyright,copyright
technology,technology
great privilege,great privilege
result,result
IBCS,IBCS
Full Article,article
February and plans,February plan
plans,plan
many deaths,death
engaging incoming threats,engaging incoming threat
southern Israel,southern Israel
next spring,spring
Army shoot-off event,Army shoot event
equip ground forces,equip ground force
SpecOps,SpecOps
Rafael,Rafael
multiple Army tests,multiple Army test
defense firms,defense firm
strength,strength
effectiveness,effectiveness
Israeli defense establishment,Israeli defense establishment
Army,army
broadcast,broadcast
modernization officials,modernization official
Iron Dome systems,Iron Dome
material,material
targets,target
service modernization officials,service modernization official
Rafael news release,Rafael news release
advanced system,advanced
State of Israel,Israel
February,February
Foreign Competitors Show,Foreign Competitors
New Mexico,Mexico
matthew.cox@military.com,matthew cox military
Moshe Patel Rafael,Moshe Patel Rafael
Rafael release,Rafael release
Pini Yungman,Pini Yungman
first battery,battery
August,August
ability,ability
very fact,fact
Defense,defense
Army's need,Army
release,release
agreement,agreement
interceptor systems,interceptor
Tamir interceptor missile,Tamir interceptor missile
service,service
Rafael officials,Rafael official
event,event
air defense sensors,air defense sensor
head of it,head
service's modernization vision,service modernization vision
Matthew Cox,Matthew Cox
operational activity,operational activity
system’s delivery,delivery
formal deal,formal deal
Raytheon,Raytheon
Battle,battle
Israel's Iron Dome,Israel Iron Dome
three demonstrations,demonstration
These Mixed-Reality 'Doggles,Mixed Reality Doggles
Israel's Ministry,Israel ministry
