appearance-based bias,appearance based bias
Roch SG,Roch SG
7–30 reviewers,7 30 reviewer
Hosoda M,Hosoda
personal interviews,personal interview
natural breaks,natural break
meta-analysis of experiment,analysis experiment
commercial shared server,commercial shared server
care and outcomes,care outcome
National Academies Press,National Academies press
Adolescent obesity,Adolescent obesity
large sample,large sample
spectrum,spectrum
URL,URL
research publications,publication
colleagues,colleague
prior studies,prior study
participating faculty,participating faculty
disadvantages,disadvantage
evidence of weight,evidence weight
actual radiology applications,actual radiology application
same pool,pool
University of Indiana,University Indiana
grades,grade
Greenwald AG,Greenwald
potential bias,potential bias
weight,weight
Belle Mead NJ,Belle Mead
surrogate,surrogate
reviewer website,reviewer website
term,term
website developer/statistical analyst,website developer statistical analyst
Canning H,Canning
problem,problem
Dean,dean
Walster E.,Walster
proportion,proportion
residency application process,residency application process
impact,impact
Hispanic base identities,Hispanic base identitie
interview decisions,interview decision
doctors,doctor
institutional review boards,institutional review board
continuous mean attractiveness,continuous attractiveness
Understanding and us,Understanding
potential influence,potential influence
Implicit Association Test,Implicit Association test
bias,bias
Carels RA,Carels
range,range
histogram,histogram
Sociol Educ,Sociol Educ
Wu CH,Wu
"original, unique link",original unique link
Percentages,percentage
member,member
selection,selection
Stone-Romero EF,Stone Romero
selection process,selection process
final statistical model,final statistical model
Figure,figure
“.org” website,org website
Saruwatari LR,Saruwatari
“underrepresented minorities,underrepresented minority
correlation coefficients,correlation coefficient
recommendation,recommendation
Research Committee,committee
waiver,waiver
plot,plot
Additional supporting variables,Additional supporting variable
randomization,randomization
study of potential,study potential
strategies,strategy
differences,difference
Bayesian information criterion,Bayesian criterion
decision,decision
significant relationships,relationship
cross-cultural perception,cross cultural perception
Pak AW,Pak
standard error,standard error
our program,program
tendency,tendency
distribution,distribution
radiology applicants,radiology applicant
significant linear benefit,linear benefit
awareness of admissions,awareness admission
ideas of beauty,ideas beauty
selection of GME,selection GME
Cramer P,Cramer
Applicant race,Applicant race
category of obesity,category obesity
Silver Spring,Silver spring
Drehmer DE,Drehmer
Canning and Mayer,Canning Mayer
radiology resident selection,radiology resident selection
workplace,workplace
static cue,static cue
site and reviewer,site reviewer
residency applications,residency application
Fowler-Brown AG,Fowler Brown
Rubenstein AJ,Rubenstein
judgments,judgment
letters,letter
academic achievement,academic achievement
appearance and sex,appearance sex
BMI,BMI
McElroy JC,McElroy JC
admissions,admission
variability,variability
certain demographic groups,demographic group
physical attractiveness stereotype,physical attractiveness stereotype
clear pattern,clear pattern
peaks,peak
employees,employee
site-specific investigator,site specific investigator
French MT,French
Obese,Obese
Mobius MM,Mobius MM
Homer JF,Homer JF
randomized academic variables,randomized academic variable
influence,influence
our model,model
age range,age range
Redwood Shores,Redwood shore
myths of beauty,myths beauty
waiver of consent,waiver consent
appearance of applicants,appearance applicant
holistic approach,holistic approach
graduate school admissions,graduate school admission
link,link
primary focus,primary focus
Dion KL,Dion KL
exclusion,exclusion
New Mexico,Mexico
purposes,purpose
Capers Q 4th,Capers 4th
