einem Ausbildungsplatz,Ausbildungsplatz
Simulator,Simulator
Geschehen,Geschehen
Wasseraustritte,Wasseraustritte
Beschädigungen,Beschädigung
Medien,Medium
je zwei Personen,Person
Unity3D,Unity3D
Forschungsprojekt „Deichverteidigungssimulation,Forschungsprojekt Deichverteidigungssimulation
unterschiedliche Hochwasserpegel,Hochwasserpegel
innovative Art,Art
Vorbereitung,Vorbereitung
Juni,Juni
Kombination,Kombination
digitale Bildung,Bildung
Gerhard Heiming,Gerhard Heiming
einer konkreten Prüfung,Prüfung
Simulation,Simulation
virtuellen Welt,Welt
europäischen Leitmesse,Leitmesse
Lernalltag,Lernalltag
Projekte,Projekt
Deichabschnitte,Deichabschnitte
Sensoren,Sensor
moderne Technologien,Technologie
Gegebenheiten,Gegebenheit
Virtual-Reality-Deichverteidigungs-Simulator,Virtual Reality Deichverteidigungs Simulator
Deich,Deich
Learntec,Learntec
Aspiranten,Aspiranten
Fuß,Fuß
dieser kabellosen Virtual-Reality-Brille,Virtual Reality Brille
Ausbildung,Ausbildung
Risse,Riß
Technische Hilfswerk,Technische Hilfswerk
Szenaris,Szenaris
Deichsicherungskräften,Deichsicherungskräften
Preis,Preis
Teams,Team
operative Bevölkerungsschutz,Bevölkerungsschutz
Deichläufer,Deichläufer
Einsatz,Einsatz
Lehrsaal,Lehrsaal
Virtual-Reality-Brille HTC VivePro,Virtual Reality Brille HTC VivePro
Simulationsprogramm,Simulationsprogramm
künstlicher Intelligenz,Intelligenz
Virtual-Reality-Trainingssystem,Virtual Reality Trainingssystem
THW,THW
Karlsruhe,Karlsruhe
Raum,Raum
Reality-Brillen,Reality Brillen
Ausbildungspersonal,Ausbildungspersonal
zwei Lernende,Lernende
Abschnitt,Abschnitt
