variety of training,variety training
emotional distress,emotional distress
piece of paper,piece paper
powerpoint slides,powerpoint slide
confidence,confidence
Virtual trainings,Virtual training
wrong thing,wrong
Visual effects,Visual
emotional connection,emotional connection
VR training,VR training
professionals,professional
technology,technology
other VR simulations,VR simulation
patients,patient
Google,Google
center of what,center
application,application
Moth,Moth
potential,potential
hype,hype
virtual person,virtual person
CEO,CEO
test case,test case
email,email
right questions,question
people,people
Air Force,Air force
much greater impact,greater impact
piece,piece
Voice,voice
founder,founder
suicide prevention module,suicide prevention module
cooler-than-expected reception,cooler expected reception
paper,paper
Amazon,Amazon
mixed reality training,mixed reality training
difficult conversations,difficult conversation
scenarios,scenario
wider implementation,wider implementation
setting,set
virtual reality,virtual reality
conversational skills,conversational skill
spouses,spouse
CEO and founder,CEO founder
possibility of role-play,possibility role play
training applications,training application
role-play,role play
emotional verisimilitude,emotional verisimilitude
Legacy training programs,Legacy training program
entertainment,entertainment
variety,variety
stakes,stake
additional resources,additional resource
virtual reality headset,virtual reality headset
Travis pilot,Travis pilot
problems,problem
answer,answer
job,job
biggest brands,biggest brand
doctors,doctor
Individual role-play,Individual role play
Kevin Cornish,Kevin cornish
training coach,training coach
suicide prevention,suicide prevention
photo-realistic imagery,photo realistic imagery
fellow distressed Airmen,fellow distressed airman
book,book
degree,degree
simulated environment,simulated environment
years,year
trainees,trainee
Moth+Flame's background,Moth Flame background
videos,video
potentially hazardous conditions,hazardous condition
participant,participant
Voice activation,Voice activation
airman,airman
situations,situation
virtual environment,virtual environment
entertainment experiences,entertainment experience
skills,skill
real world,real
real-life type,real life type
particular experience,experience
years of hype,years hype
Travis public affairs,Travis public affair
training script,training script
contract,contract
Travis,Travis
Cornish,cornish
training,training
head,head
real life,real life
training experience,training experience
Netflix,Netflix
opportunities,opportunity
holiday rush,holiday rush
possibility,possibility
company,company
Walmart employees,Walmart employee
Flame,flame
learner,learner
founder of Moth,founder Moth
real world situation,real situation
major bright spot,major bright spot
program,program
administrators,administrator
obvious emotional distress,obvious emotional distress
most fundamental way,fundamental
near future,future
ambition,ambition
