hand-tracking framework,hand tracking framework
compatible controller,compatible controller
camera,camera
laser pointers,laser pointer
Quest hand tracking,Quest hand tracking
update,update
additional hardware,additional hardware
best news,news
your VR field,VR field
VR hand tracking,VR hand tracking
Oculus Link,Oculus link
various games,game
Oculus engineering team,Oculus engineering team
controllers,controller
result,result
Quest's settings,Quest setting
two important asterisks,asterisk
Today's news,Today news
experimental feature,experimental feature
awkward moment,awkward moment
processing burden,processing burden
issue,issue
skies,sky
Lord Zuck,Lord Zuck
piece,piece
launch,launch
your real-life hand,real life hand
your pinch,pinch
VR objects,VR object
"""pinch"" gestures",pinch gesture
open space,open space
Quest's We,Quest
pre-release tests,pre release test
terms,term
every hand position,hand position
menu elements,menu element
tests,test
kind,kind
other VR headsets,VR headset
two weaknesses,weakness
haptic feedback,haptic feedback
software engineering,software engineer
virtual goo,virtual goo
gaming ecosystem,gaming ecosystem
Leap Motion,Leap motion
fists,fist
distant objects,distant object
triggers and buttons,triggers button
VR sky,VR sky
sensation,sensation
some VR software,VR software
inability,inability
reason,reason
individual fingers,individual finger
VR item,VR item
That reduced friction,reduced friction
toggle,toggle
bolted-on rendering pipeline,bolted rendering pipeline
full interface,interface
Wolverine,Wolverine
"""experimental"" tab",experimental tab
ball,ball
Quest's array,Quest array
Instagram feed,Instagram feed
your hands,hand
vision,vision
feature,feature
Software Development Kit,Software Development Kit
built-in cameras,built camera
demanding games,demanding game
Rift S headsets,Rift headset
ship,ship
fantasy-themed test,fantasy themed test
media-playing app,media playing app
scrolling list,scrolling list
Wolverine-like blades,Wolverine blade
pointer,pointer
Oculus,oculus
hand-tracking experiments,hand tracking experiment
360-degree video,360 degree video
tease,tease
handheld plastic,handheld plastic
buttons,button
thumbs-up gesture,thumbs gesture
free update,free update
your hands' orientation,hands orientation
experimental freebie,experimental freebie
interesting one,interesting
various tech expos,tech expo
Oculus' hand-tracking system,Oculus hand tracking
few hand gestures,hand gesture
vat,vat
fingers,finger
text,text
triggers,trigger
image,image
outward-facing cameras,outward facing camera
Valve Index,Valve
PC-centric Rift,centric Rift
hand-tracking update,hand tracking update
form,form
SDK,SDK
my virtual knuckles,virtual knuckle
any menu buttons,menu button
nearby ones,nearby
VR users,VR user
thumb,thumb
weapon,weapon
Oculus' primary differentiation,Oculus primary differentiation
your real fingers,real finger
VR system,VR
sense,sense
any software,software
pesky fly,pesky fly
"""a week",week
media apps,media app
Oculus developers,Oculus developer
gesture,gesture
webpage,webpage
instant visual feedback,instant visual feedback
Quest ecosystem,Quest ecosystem
October,October
proprietary add-ons,proprietary add ons
volume slider,volume slider
door,door
October's Oculus,October oculus
execution,execution
distant menu,distant menu
unique cameras,unique camera
Quest's Web browser,Quest Web browser
built-in option,built option
Quest,quest
menus,menu
users,user
similar array,array
apps,app
