vessels,vessel
potential hazards,potential hazard
Madrid,Madrid
Norway,Norway
shallow depth,shallow depth
NWC,NWC
conflict detection,conflict detection
curved screens,curved screen
Swedish Army Chief,Swedish Army chief
Sydney,Sydney
AUV62-AT underwater vehicle,AUV62 underwater vehicle
UAVs UK,UAVs
St. Louis,Louis
increased world awareness,increased awareness
mixed reality systems,mixed reality
TCS,TCS
lack of oxygen,lack oxygen
JFOs,JFOs
Division levels,Division level
Spanish Army,Spanish army
Latvian Armed Forces,Latvian Armed force
engineers,engineer
real time weather,real time weather
other US forces,force
Thales Australia,Thales Australia
part task trainers,task trainer
Immersive Display Solutions,Immersive Display solution
Solutions,solution
future ITECs,future ITECs
hypoxia incidents,hypoxia incident
Nations,nation
Technology and Nations,Technology nation
review,review
SoftekSim,SoftekSim
Weapon effects,Weapon
Thales,Thales
conference,conference
JFMT,JFMT
Hohenfels,hohenfel
oxygen,oxygen
Charleston,Charleston
CAVE,CAVE
RAF Waddington,RAF waddington
Photo,photo
LED displays,LED display
visual display,visual display
Bohemia Interactive Simulations,Bohemia Interactive simulation
Latvia,Latvia
Stockholm,Stockholm
Netherlands,netherland
VRSG,VRSG
Barco NV,Barco NV
mission rehearsal,mission rehearsal
new type,type
tradition,tradition
Elbit Systems,Elbit
organisations,organisation
other data,datum
multi-role systems,multi role
swarms of craft,swarms craft
FACs,FACs
addition,addition
Recent Projects,project
MoA,MoA
Piraeus,piraeus
FMS,FMS
TORE,TORE
range,range
various customers,customer
soldiers,soldier
cost-effectiveness,cost effectiveness
Combat Training Centres,Combat Training centre
arms capabilities,arms capability
Germany,Germany
MASA Group,MASA group
real time,real time
two panel members,panel member
Command,command
Other members,member
Artificial Intelligence,Artificial intelligence
vehicles,vehicle
simulated radio,simulated radio
pilots and engineers,pilots engineer
integration,integration
field,field
US$500M contract,500M contract
Karlskrona,Karlskrona
size,size
Land Systems Austria,Land Systems Austria
William Carter,William carter
programme,programme
interactive touch tables,interactive touch table
Keynote Speaker,Keynote speaker
France,France
CAS,CAS
Australia Defence Force,Australia Defence force
range of platforms,range platform
IOC,IOC
ACMI,ACMI
“critical mass,critical mass
Memorandum of Agreement,Memorandum agreement
Bahrain,Bahrain
realistic mission,realistic mission
companies,company
67% of responders,67 responder
US partner,partner
JFTS,JFTS
Canada,Canada
displays,display
prime contractor,prime contractor
iVictrix marksmanship simulator,iVictrix marksmanship simulator
place,place
main trainer,main trainer
Pinnacle Solutions,Pinnacle solution
sonar,sonar
aircraft utilisation,aircraft utilisation
Training,train
training technology,training technology
joint forward observers,joint observer
four-person brief area,person area
Foreign Military Sales,Foreign Military sale
training and logistics,training logistic
Simulators and Simulation,Simulators simulation
behaviours,behaviour
Rotary Wing Australia,Rotary Wing Australia
BISim,BISim
360-degree view,360 degree view
realistic cockpit environment,realistic cockpit environment
records engagement,records engagement
aircraft cockpit,aircraft cockpit
modern simulation,modern simulation
